Cross-Site Migration Probabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
"Probability of re-locating from one site to another, by life stage",,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note:  Row Totals MUST sum to 1.  Column totals do not need to sum to 1.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fry,,To Site,,,,,,,,,,run-run,year-year,site-site ,within-Site,Future Target,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,Alpha.R,Alpha.T,Alpha.S,Alpha,1,2,3,4,5,6,7,8,9,10,Rate Parameter
,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.39,0.56,0.05,0,0,0,0,0,0,0,0
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0.55,0.45,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parr,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.4,0.6,0,0,0,0,0,0,0,0,0
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0.05,0.7,0.25,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
PreSmolts,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.05,0.9,0.05,0,0,0,0,0,0,0,0
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0,1,0,0,0,0,0,0,0,0,0
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0,0.99,0.01,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
Returning Spawners,1,1,0,0,0,0,0,0,0,0,0,99,99,9999,9999,0.9,0,0.1,0,0,0,0,0,0,0,0
From Site,2,0,1,0,0,0,0,0,0,0,0,99,99,9999,9999,0.65,0,0.35,0,0,0,0,0,0,0,0
,3,0,0,1,0,0,0,0,0,0,0,99,99,9999,9999,0.05,0,0.95,0,0,0,0,0,0,0,0
,4,0,0,0,1,0,0,0,0,0,0,99,99,9999,9999,0,0,0,1,0,0,0,0,0,0,0
,5,0,0,0,0,1,0,0,0,0,0,99,99,9999,9999,0,0,0,0,1,0,0,0,0,0,0
,6,0,0,0,0,0,1,0,0,0,0,9999,9999,9999,9999,0,0,0,0,0,1,0,0,0,0,0
,7,0,0,0,0,0,0,1,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,1,0,0,0,0
,8,0,0,0,0,0,0,0,1,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,1,0,0,0
,9,0,0,0,0,0,0,0,0,1,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,1,0,0
,10,0,0,0,0,0,0,0,0,0,1,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,1,0
